A,G,N1,N2,M,T
0.91,1.87,-8.1,18.2,290.0,23.1
0.9,2.23,-8.3,17.9,294.0,23.1
0.9,1.8,-8.1,18.4,296.0,23.0
0.9,1.74,-8.0,18.5,295.0,23.1
0.9,2.16,-8.0,18.5,292.0,23.1
0.9,2.06,-8.4,18.7,290.0,23.1
0.9,2.21,-8.0,18.6,290.0,23.1
0.9,2.09,-8.3,18.4,293.0,23.1
0.9,1.75,-8.0,19.1,294.0,23.1
0.91,1.81,-8.2,18.5,295.0,23.0
0.9,2.01,-7.7,18.4,294.0,23.1
0.9,2.0,-7.6,18.8,291.0,23.1
0.9,1.94,-7.6,18.9,290.0,23.1
0.91,1.76,-8.3,18.8,292.0,23.1
0.91,1.87,-7.6,18.6,291.0,23.1
0.9,2.51,-7.9,18.3,290.0,23.1
0.9,1.75,-7.8,18.6,289.0,23.1
0.9,1.92,-7.8,18.6,288.0,23.1
0.91,2.06,-7.9,18.5,293.0,23.1
0.91,1.98,-8.2,18.5,292.0,23.1
0.9,2.07,-8.1,18.5,290.0,23.1
0.9,2.01,-8.3,18.8,288.0,23.0
0.9,2.17,-8.3,18.0,293.0,23.1
0.91,2.32,-8.9,18.3,295.0,23.1
0.9,2.0,-8.1,18.9,296.0,23.1
0.9,2.04,-8.1,18.1,300.0,23.1
0.9,1.95,-8.2,18.6,290.0,23.1
0.9,1.95,-8.1,19.1,292.0,23.1
0.9,5.44,-8.2,19.1,295.0,23.0
0.9,5.44,-8.6,18.2,295.0,23.1
0.9,2.31,-8.0,18.5,295.0,23.1
0.9,2.14,-8.2,18.8,291.0,23.1
0.9,1.84,-7.9,18.6,290.0,23.0
0.89,2.35,-8.2,19.2,292.0,23.1
0.89,2.17,-8.5,19.0,293.0,23.1
0.9,1.85,-8.0,18.7,292.0,23.1
0.9,1.96,-8.1,18.9,295.0,23.0
0.89,2.1,-8.3,18.9,296.0,23.1
0.9,2.05,-7.6,18.8,295.0,23.0
0.9,1.91,-8.2,18.6,291.0,23.0
0.9,1.74,-8.1,18.6,290.0,23.1
0.89,1.93,-8.1,18.6,292.0,23.1
0.9,2.03,-8.0,19.0,296.0,23.0
0.9,1.93,-8.0,19.0,295.0,23.0
0.91,2.07,-7.7,19.3,293.0,23.1
0.9,2.02,-7.6,18.7,290.0,23.1
0.9,1.83,-8.5,18.4,290.0,23.0
0.89,1.83,-8.5,18.4,293.0,23.1
0.9,2.51,-8.3,18.6,296.0,23.0
0.9,2.23,-8.2,18.4,296.0,23.1
0.9,2.23,-8.3,18.6,291.0,23.0
0.9,2.17,-7.9,19.0,293.0,23.1
0.91,1.73,-8.0,18.7,295.0,23.1
0.9,2.26,-8.2,18.9,296.0,23.0
0.9,2.05,-8.5,18.7,294.0,23.0
0.91,2.04,-8.5,18.7,291.0,23.0
0.9,2.16,-8.6,18.4,290.0,23.1
0.91,2.29,-8.3,18.1,291.0,23.0
0.9,1.94,-8.0,18.7,294.0,23.0
0.9,1.94,-8.4,18.7,295.0,23.0
0.9,1.68,-8.3,18.8,294.0,23.0
0.9,2.05,-8.1,18.5,294.0,23.0
0.89,2.09,-8.2,19.3,291.0,23.1
0.9,1.8,-8.2,19.0,293.0,23.1
0.9,2.15,-8.4,18.7,295.0,23.1
0.9,1.98,-8.1,18.9,293.0,23.1
0.89,1.93,-8.2,18.7,290.0,23.0
0.9,1.84,-8.2,18.0,290.0,23.0
0.89,1.93,-8.1,18.7,293.0,23.0
0.9,2.12,-8.1,18.4,295.0,23.1
0.9,2.05,-8.5,18.7,295.0,23.1
0.8,1.91,-8.7,18.7,294.0,23.1
0.89,1.93,-8.3,19.0,294.0,23.0
0.89,9.19,-8.3,19.0,296.0,23.1
0.89,2.19,-8.2,18.6,291.0,23.0
0.9,1.97,-7.9,18.5,290.0,23.1
0.89,2.1,-8.4,18.5,293.0,23.1
0.9,2.34,-8.1,18.6,293.0,23.1
0.9,1.95,-8.6,18.8,291.0,23.1
0.9,2.01,-8.3,18.4,294.0,23.0
0.89,1.81,-7.9,18.2,295.0,23.0
0.9,1.9,-8.0,18.8,295.0,23.0
0.91,1.85,-8.3,18.1,294.0,23.1
0.9,0.99,-8.3,8.1,290.0,23.0
0.9,2.06,-8.5,17.9,290.0,23.0
0.9,2.08,-8.3,18.5,295.0,23.1
0.9,2.45,-8.5,18.4,294.0,23.0
0.9,2.0,-8.5,18.3,290.0,23.1
0.9,1.82,-8.3,18.5,291.0,23.0
0.89,1.82,-8.1,18.5,293.0,23.0
0.9,1.85,-7.9,18.1,295.0,23.0
0.9,2.08,-8.1,18.7,290.0,23.0
0.9,2.13,-7.9,18.6,292.0,23.0
0.9,1.91,-7.9,18.6,295.0,23.1
0.91,2.1,-8.0,18.7,296.0,23.1
0.91,1.93,-8.1,18.0,295.0,23.0
0.89,1.93,-8.0,18.6,290.0,23.0
0.9,1.99,-8.5,18.4,296.0,23.0
0.89,2.01,-8.7,18.8,290.0,23.0
0.9,2.23,-8.4,18.5,291.0,23.0
0.9,1.87,-7.9,18.2,294.0,23.0
0.89,2.12,-8.2,18.6,291.0,23.0
0.9,2.02,-8.3,19.0,290.0,23.1
0.91,1.96,-8.0,18.2,291.0,23.1
0.89,2.0,-8.6,18.5,293.0,23.0
0.9,2.0,-8.6,18.5,290.0,23.0
0.89,2.6,-8.6,18.5,290.0,23.1
0.9,2.22,-8.4,19.2,291.0,23.0
0.9,2.05,-8.0,18.4,290.0,23.1
0.9,1.81,-8.4,18.8,294.0,23.1
0.9,2.22,-8.2,18.2,296.0,23.0
0.89,1.8,-8.2,18.2,295.0,23.0
0.89,2.14,-8.3,18.6,292.0,23.1
0.9,1.98,-8.0,18.4,291.0,23.1
0.9,1.9,-8.3,18.4,290.0,23.1
0.89,2.29,-8.5,18.2,294.0,23.0
0.89,1.99,-8.3,18.3,293.0,23.0
0.9,2.09,-8.6,18.7,291.0,23.0
0.9,1.8,-8.4,18.8,291.0,23.1
0.9,1.82,-7.9,18.6,506.0,22.7
0.9,1.5,-7.9,18.6,506.0,22.7
0.9,2.04,-7.6,18.4,506.0,22.7
0.89,1.87,-7.6,18.4,506.0,22.7
0.91,1.73,-7.6,18.4,506.0,22.7
0.89,1.91,-7.8,18.4,506.0,22.7
0.9,1.87,-7.7,18.2,506.0,22.6
0.89,1.87,-7.7,18.1,506.0,22.6
0.9,1.81,-7.7,18.1,506.0,22.7
0.9,1.81,-7.6,18.9,506.0,22.6
0.91,1.81,-7.4,18.8,506.0,22.7
0.91,1.95,-7.5,18.6,506.0,22.7
0.89,1.96,-7.3,18.9,506.0,22.8
0.9,1.77,-7.5,19.3,506.0,22.9
0.89,2.09,-7.5,18.8,506.0,23.0
0.91,2.09,-7.0,19.0,506.0,23.5
0.89,1.96,-7.2,18.8,506.0,23.6
0.91,2.26,-7.4,18.4,506.0,23.6
0.88,1.45,-7.8,19.1,505.0,23.7
0.9,1.72,-7.3,18.7,506.0,23.8
0.9,1.86,-7.4,18.4,506.0,23.9
0.9,1.86,-7.4,18.4,506.0,23.8
0.9,1.9,-7.7,18.6,506.0,23.8
0.91,2.06,-7.5,18.8,506.0,23.9
0.91,1.71,-7.4,18.4,506.0,23.8
0.9,2.0,-7.0,18.9,506.0,23.8
0.9,2.07,-7.6,18.7,506.0,23.8
0.9,1.91,-7.1,18.4,506.0,23.8
0.9,2.02,-7.3,18.8,506.0,23.7
0.91,1.98,-7.8,18.5,506.0,23.8
0.9,2.26,-7.5,18.8,506.0,23.7
0.9,1.86,-7.3,18.6,506.0,23.7
0.9,2.17,0.0,0.0,506.0,22.9
0.9,1.98,-7.3,18.2,506.0,22.9
0.9,1.78,-7.3,18.2,506.0,22.9
0.9,2.25,-7.3,18.5,506.0,22.9
0.9,3.91,-10.8,17.7,509.0,22.7
0.9,1.8,-10.0,19.1,509.0,22.7
0.9,1.91,-10.2,19.3,509.0,22.7
0.89,2.61,-10.1,17.4,509.0,22.7
0.89,2.07,-10.1,19.5,508.0,22.8
0.89,1.66,-10.1,19.1,508.0,22.7
0.9,2.18,-10.1,19.1,509.0,22.8
0.9,2.1,-9.6,19.4,509.0,22.8
0.9,1.79,-10.0,19.6,508.0,22.8
0.91,2.15,-9.4,19.6,509.0,22.8
0.9,1.62,-9.9,18.9,509.0,22.7
0.9,2.18,-9.4,19.5,509.0,22.7
0.9,2.4,-9.9,19.5,509.0,22.7
0.89,2.08,-9.9,19.5,508.0,22.7
0.89,2.09,-9.8,19.5,508.0,22.7
0.89,2.05,-9.8,19.5,508.0,22.7
0.9,2.05,-10.4,18.9,508.0,22.7
0.89,2.04,-10.2,19.1,509.0,22.7
0.89,2.14,-10.3,19.0,509.0,22.7
0.9,2.28,-10.3,19.0,508.0,22.7
