A,G,N1,N2,M,T
0.9,1.96,-10.8,18.6,509.0,22.6
0.9,2.27,-10.4,18.7,509.0,22.6
0.89,1.95,-10.4,18.7,509.0,22.6
0.91,1.67,-9.9,18.8,509.0,22.6
0.91,1.8,-10.1,18.7,508.0,22.6
0.91,1.67,-10.0,18.7,509.0,22.6
0.91,1.93,-10.3,18.8,509.0,22.6
0.9,2.01,-10.1,18.7,509.0,22.6
0.89,1.69,-10.3,18.9,509.0,22.6
0.9,2.15,-10.6,18.7,509.0,22.6
0.9,2.05,-10.6,18.7,509.0,22.6
0.9,2.54,-9.8,18.6,509.0,22.6
0.9,2.25,-10.1,18.3,509.0,22.6
0.9,2.25,-10.0,18.7,509.0,22.6
0.89,1.91,-10.4,19.0,509.0,22.6
0.9,2.24,-10.4,18.5,509.0,22.6
0.9,2.0,-9.9,19.4,509.0,22.6
0.91,1.86,-10.2,18.5,509.0,22.6
0.9,1.6,-10.5,18.8,509.0,22.6
0.9,2.13,-10.8,18.9,509.0,22.6
0.9,2.05,-10.7,18.8,509.0,22.6
0.91,2.11,-9.8,19.3,509.0,22.6
0.89,2.12,-10.2,18.8,509.0,22.6
0.9,1.92,-10.3,19.6,509.0,22.6
0.91,2.12,-10.3,18.4,509.0,22.6
0.89,2.34,-9.7,19.2,509.0,22.6
0.89,2.14,-10.0,18.9,509.0,22.6
0.89,2.27,-10.1,18.8,509.0,22.6
0.89,2.03,-10.4,18.8,509.0,22.6
0.9,2.1,-10.4,18.9,509.0,22.6
0.9,2.31,-10.2,18.8,509.0,22.6
0.89,2.31,-10.0,8.9,509.0,22.6
0.9,2.31,-10.0,8.9,509.0,22.6
0.9,2.14,-10.4,18.5,509.0,22.6
0.9,1.79,-11.0,17.9,509.0,22.6
0.9,2.16,-10.4,19.3,509.0,22.6
0.89,2.19,-9.9,18.7,509.0,22.6
0.89,2.4,-10.0,18.7,509.0,22.6
0.9,3.48,-10.4,19.5,508.0,22.6
0.89,1.81,-10.5,18.6,509.0,22.6
0.9,2.47,-10.6,18.7,509.0,22.6
0.89,4.19,-10.6,18.7,509.0,22.6
0.89,1.93,-0.6,18.9,509.0,22.6
0.9,2.1,-10.0,18.8,509.0,22.6
0.89,2.04,-10.3,18.4,509.0,22.6
0.9,2.04,-9.9,19.0,509.0,22.6
0.9,2.2,-10.2,18.8,509.0,22.6
0.9,1.98,-9.9,18.7,509.0,23.6
0.9,1.84,-10.3,18.9,508.0,22.6
0.9,2.66,-10.3,18.4,509.0,22.6
0.9,1.73,-9.7,19.0,509.0,22.6
0.9,1.99,-10.7,18.8,509.0,22.6
0.89,1.8,-10.6,18.8,508.0,22.6
0.91,2.13,-10.1,19.0,509.0,22.6
0.9,1.94,-10.7,18.9,509.0,22.6
0.9,2.1,-10.3,18.6,509.0,22.6
0.9,1.98,-9.6,18.9,508.0,22.6
0.89,2.19,-10.1,18.1,508.0,22.6
0.9,2.04,-10.3,18.9,509.0,22.6
0.9,3.15,-10.4,18.4,509.0,22.6
0.9,1.91,-10.0,19.6,509.0,22.6
0.9,1.83,-9.8,18.9,509.0,22.6
0.9,1.86,-10.3,18.5,509.0,22.6
0.89,2.72,-9.3,20.1,508.0,22.6
0.9,2.1,-10.3,19.1,509.0,22.6
0.89,2.17,-10.5,18.3,509.0,22.6
0.9,2.21,-10.1,19.3,508.0,22.6
0.9,1.76,-8.9,19.5,509.0,22.6
0.89,1.85,-10.1,19.2,509.0,22.6
0.9,1.8,-10.0,19.4,509.0,22.6
0.9,1.59,-10.1,18.9,509.0,22.6
0.89,1.86,-10.4,19.0,509.0,22.6
0.9,1.79,-10.1,19.5,509.0,22.6
0.89,1.88,-10.1,19.1,509.0,22.6
0.9,2.14,-10.4,19.0,509.0,22.6
0.9,2.28,-10.4,19.0,509.0,22.6
0.9,1.91,-10.3,19.0,509.0,22.6
0.9,1.94,-10.1,18.9,509.0,22.6
0.9,2.17,-10.4,18.6,509.0,22.6
0.89,1.89,-10.0,18.8,509.0,22.6
0.9,2.47,-9.6,18.8,509.0,22.6
0.9,2.05,-10.1,19.5,509.0,22.6
0.9,1.99,-10.2,18.7,509.0,22.6
0.9,1.95,-10.4,18.8,508.0,22.6
0.89,1.95,-10.5,19.3,509.0,22.6
0.9,2.06,-9.9,19.3,509.0,22.6
0.9,1.77,-9.9,18.4,509.0,22.6
0.9,1.77,-9.6,18.9,509.0,22.6
0.89,2.23,-9.6,18.8,508.0,22.6
0.89,1.96,-10.3,18.6,509.0,22.6
0.9,1.8,-10.3,18.6,509.0,22.6
0.9,1.8,-10.4,18.9,509.0,22.6
0.9,2.24,-10.4,18.7,509.0,22.6
0.89,1.93,-10.2,19.6,509.0,22.6
0.9,1.68,-10.8,18.5,509.0,22.6
0.9,2.06,-10.0,18.4,509.0,22.6
0.9,1.73,-10.3,19.2,509.0,22.6
0.9,2.29,-10.6,19.2,509.0,22.6
0.89,1.91,-10.3,19.1,509.0,22.6
0.9,2.04,-9.9,19.0,509.0,22.6
0.9,2.04,-10.1,18.7,509.0,22.6
0.9,1.81,-10.1,18.7,509.0,22.6
0.89,2.13,-10.5,19.2,509.0,22.6
0.9,1.9,-10.5,19.2,509.0,22.6
0.9,1.91,-10.2,19.0,509.0,22.6
0.9,2.16,-11.3,17.6,509.0,22.6
0.9,1.9,-10.4,19.2,509.0,22.6
0.89,1.89,-10.2,19.2,509.0,22.6
0.89,2.22,-10.4,18.6,509.0,22.6
0.89,2.31,-10.3,19.2,509.0,22.6
0.9,1.79,-9.7,19.0,509.0,22.6
0.9,2.3,-10.2,18.8,509.0,22.6
0.89,2.3,-10.5,19.0,509.0,22.6
0.9,1.84,-10.5,19.0,509.0,22.6
0.9,1.97,-10.4,18.5,509.0,22.6
0.9,1.97,-10.3,19.2,509.0,22.6
0.9,2.16,-10.7,18.7,509.0,22.6
0.89,2.09,-10.2,19.2,509.0,22.6
0.9,1.69,-10.1,18.6,509.0,22.6
0.9,2.19,-9.9,18.7,509.0,22.6
0.9,2.04,-10.0,19.0,509.0,22.6
0.89,1.74,-10.0,19.0,509.0,22.6
0.9,1.6,-10.3,19.0,509.0,22.6
0.9,2.14,-10.1,18.9,509.0,22.6
0.91,2.07,-10.3,18.7,509.0,22.6
0.89,1.9,-10.1,19.3,509.0,22.6
0.9,2.07,-10.1,19.1,509.0,22.6
0.9,1.58,-9.9,18.7,509.0,22.6
0.9,1.6,-10.1,18.7,509.0,22.6
0.9,2.07,-10.1,18.8,509.0,22.6
1.02,47.53,10.8,6.0,509.0,22.6
0.91,1.96,-4.7,11.6,509.0,22.7
0.9,2.1,-4.7,11.6,509.0,22.6
0.89,1.72,-4.7,11.6,509.0,22.6
0.9,1.85,-6.0,12.2,509.0,22.6
0.91,1.98,-6.0,12.2,509.0,22.6
0.91,3.14,-6.0,12.2,509.0,22.6
0.9,1.71,-6.5,12.3,509.0,22.6
0.91,1.91,-6.6,11.7,509.0,22.6
0.9,1.83,-6.4,12.1,509.0,22.6
0.9,2.09,-6.4,12.1,509.0,22.6
0.9,1.67,-6.5,12.1,509.0,22.6
0.9,2.01,-6.5,12.0,509.0,22.6
0.9,1.77,-6.5,12.0,509.0,22.6
0.91,2.01,-7.0,11.9,509.0,22.6
0.89,1.86,-7.0,11.9,509.0,22.6
0.9,1.79,-6.5,13.5,509.0,22.6
0.9,1.79,-6.5,13.5,509.0,12.6
0.9,2.02,-6.7,12.3,509.0,22.6
0.9,1.87,-6.4,11.7,509.0,22.6
0.91,1.84,-6.6,12.2,508.0,22.6
0.9,2.01,-6.6,12.1,509.0,22.6
0.9,2.18,-6.4,12.2,508.0,22.6
0.9,3.51,-6.3,11.2,509.0,22.6
0.9,1.96,-6.1,12.0,509.0,22.6
0.9,2.03,-6.4,11.8,509.0,22.6
0.9,2.02,-6.4,11.8,509.0,22.6
0.9,2.0,-6.5,12.3,508.0,22.6
0.9,2.0,-6.2,12.4,509.0,22.6
0.89,1.72,-6.5,12.2,509.0,22.6
0.9,2.16,-6.3,12.1,509.0,22.6
0.89,1.62,-5.8,12.5,508.0,22.6
0.9,1.99,-6.8,11.5,509.0,22.6
0.9,1.92,-6.2,12.1,509.0,22.6
0.9,1.93,-6.7,12.2,509.0,22.6
0.89,2.02,-5.9,12.6,509.0,22.6
0.9,1.44,-5.8,12.3,509.0,22.6
0.89,2.1,-5.8,12.3,509.0,22.6
0.9,1.8,-6.4,12.0,508.0,22.6
0.9,1.79,-6.5,11.8,509.0,22.6
0.91,1.88,-6.5,11.8,509.0,22.6
0.9,1.82,-6.5,11.8,509.0,22.6
0.9,2.09,-6.4,11.9,509.0,22.6
0.9,1.94,-6.3,11.7,509.0,22.6
0.9,1.92,-6.3,12.2,509.0,32.6
0.9,1.82,-6.3,12.2,509.0,22.6
0.9,2.0,-6.5,12.0,509.0,22.6
0.9,2.05,-7.1,11.8,509.0,22.6
0.9,2.02,-6.1,12.2,509.0,22.6
0.9,2.08,-6.8,12.1,509.0,22.6
0.9,1.88,-6.2,12.5,509.0,22.6
0.9,2.05,-6.3,12.0,509.0,22.6
0.91,1.97,-6.4,12.0,509.0,22.6
0.91,1.8,-6.5,12.3,509.0,22.6
0.89,1.8,-5.8,12.2,509.0,22.6
0.9,2.76,-6.7,11.9,509.0,22.6
0.9,2.06,-5.7,13.2,509.0,22.6
0.9,1.69,-6.3,12.4,509.0,22.6
0.9,2.16,-6.3,12.4,509.0,22.6
0.9,4.56,-5.3,13.6,409.0,22.6
0.91,1.76,-6.4,12.5,509.0,22.6
0.89,2.02,-6.7,12.2,509.0,22.6
0.9,1.64,-6.7,12.0,509.0,22.6
0.9,1.59,-6.1,12.5,509.0,22.6
0.9,1.59,-6.4,12.1,509.0,22.6
0.89,1.84,-5.8,12.1,509.0,22.6
0.9,2.15,-6.4,12.2,509.0,22.6
0.9,2.01,-6.1,12.7,509.0,22.6
0.9,2.01,-6.1,12.7,509.0,22.6
0.9,2.01,-6.1,12.7,509.0,22.6
0.9,1.82,-6.2,12.2,509.0,22.6
0.89,1.43,-6.3,12.5,509.0,22.6
0.9,2.45,-6.4,13.0,509.0,22.6
0.91,2.07,-5.9,12.4,509.0,22.6
0.89,2.08,-5.9,12.4,509.0,22.6
0.91,2.16,-6.3,12.5,509.0,22.6
0.91,1.92,-6.3,12.5,509.0,22.6
0.9,2.03,-6.4,11.9,509.0,22.6
0.9,1.99,-6.2,12.0,509.0,22.6
0.9,1.9,-6.6,12.5,509.0,22.6
0.9,1.99,-6.5,12.3,509.0,22.6
0.9,1.04,-6.6,11.7,509.0,22.6
0.9,2.38,-6.7,11.8,509.0,22.6
0.91,2.33,-7.5,12.2,509.0,22.6
0.9,2.08,-6.4,11.8,509.0,22.6
0.9,2.08,-6.5,12.1,509.0,22.6
0.9,2.01,-6.7,12.4,509.0,22.6
0.89,1.89,-6.6,12.0,509.0,22.6
0.91,1.97,-6.6,12.0,509.0,22.6
0.9,1.98,-6.2,11.8,509.0,22.6
0.9,1.73,-6.8,12.7,509.0,22.6
0.9,1.73,-6.3,12.0,509.0,22.6
0.9,2.07,-6.2,12.2,508.0,22.6
0.91,2.07,-6.7,11.7,509.0,22.6
0.9,1.99,-6.2,12.6,509.0,22.6
0.9,1.81,-6.5,11.8,509.0,22.6
0.9,1.74,-6.0,12.2,509.0,22.6
0.9,1.83,-6.4,12.3,509.0,22.6
0.9,2.05,-6.4,12.3,509.0,22.6
0.89,1.88,-6.5,12.4,509.0,22.6
0.9,2.13,-6.8,12.0,509.0,22.6
0.9,2.03,-6.2,13.0,509.0,22.6
0.91,1.8,-6.0,11.9,509.0,22.6
0.91,1.99,-6.3,12.6,509.0,22.6
0.9,1.89,-6.5,11.7,509.0,22.6
0.9,1.92,-6.4,12.5,509.0,22.6
0.9,1.88,-6.8,12.2,509.0,22.6
0.9,1.95,-6.4,12.2,508.0,22.6
0.9,1.99,-6.5,12.3,508.0,22.6
0.9,1.88,-6.5,12.3,509.0,22.6
0.91,1.86,-6.4,12.2,508.0,22.6
0.9,2.01,-6.4,12.2,508.0,22.6
0.9,1.95,-6.3,12.3,509.0,22.6
0.9,1.96,-6.5,12.0,509.0,22.6
0.89,1.98,-6.7,12.1,508.0,22.6
0.91,2.01,-6.0,11.7,509.0,22.6
0.9,2.23,-6.6,11.6,509.0,22.6
0.9,1.12,-6.6,11.6,509.0,22.6
0.9,2.05,-6.4,11.7,509.0,22.6
0.9,1.82,-6.7,12.1,509.0,22.6
0.9,1.86,-6.3,12.1,509.0,22.6
0.9,2.04,-6.3,12.1,509.0,22.6
0.89,1.88,-6.4,12.2,509.0,22.6
0.89,1.88,-6.0,12.2,509.0,22.6
0.9,1.78,-6.0,12.2,509.0,22.6
0.9,2.07,-6.0,12.1,509.0,22.6
0.9,1.88,-6.0,11.9,509.0,22.6
0.9,1.88,-6.1,12.1,509.0,22.6
0.91,2.02,-6.1,12.1,509.0,22.6
0.9,1.9,-6.1,12.2,508.0,22.6
0.91,1.75,-7.3,12.0,508.0,22.6
0.91,1.75,-6.2,12.2,509.0,22.6
0.9,1.92,-6.3,11.9,509.0,22.6
0.9,2.03,-6.1,12.1,509.0,22.6
0.9,1.88,-6.4,11.9,509.0,22.6
0.89,1.88,-6.4,11.9,509.0,22.6
0.9,1.97,-5.6,12.1,509.0,22.6
0.9,1.72,-6.6,11.9,508.0,22.6
0.9,1.91,-6.5,12.2,509.0,22.6
0.9,1.96,-6.5,12.6,509.0,22.6
0.9,1.95,-5.9,11.8,509.0,22.6
0.9,1.86,-6.4,11.8,509.0,22.6
0.89,1.99,-6.3,11.5,509.0,22.6
0.9,1.86,-6.1,12.4,509.0,22.6
0.9,4.24,-7.1,11.0,509.0,22.6
0.9,4.24,-5.6,13.1,509.0,22.6
0.9,1.98,-6.7,11.6,509.0,22.6
0.89,1.83,-6.0,12.3,508.0,22.6
0.9,1.88,-6.2,12.5,509.0,22.6
0.91,1.8,-6.2,12.5,509.0,22.6
0.9,1.81,-6.4,2.1,508.0,22.6
0.89,1.97,-6.2,11.7,508.0,22.6
0.9,2.03,-6.4,11.9,509.0,22.6
0.9,1.9,-6.1,12.0,509.0,22.6
0.9,2.13,-5.9,11.8,509.0,22.6
0.9,2.26,-6.1,12.0,509.0,22.6
0.9,1.95,-6.5,12.1,509.0,22.6
0.9,1.73,-6.6,12.4,509.0,22.6
0.89,1.94,-6.5,12.2,509.0,22.6
0.9,1.9,-6.2,12.1,509.0,22.6
0.9,1.86,-6.4,12.1,509.0,22.6
0.9,2.15,-6.8,11.9,509.0,22.6
0.9,1.91,-6.0,12.3,509.0,22.6
0.91,1.89,-6.0,11.6,509.0,22.6
0.9,2.16,-6.7,12.1,508.0,22.6
0.89,1.88,-6.7,12.2,508.0,22.6
0.9,3.08,-6.4,2.2,509.0,22.6
0.9,2.0,-6.6,12.2,508.0,22.6
0.91,1.9,-6.6,12.2,509.0,22.6
0.89,1.71,-6.6,12.3,509.0,22.6
0.9,1.86,-6.2,12.3,509.0,21.6
0.91,2.08,-6.5,12.5,509.0,22.6
0.9,1.81,-6.5,12.1,509.0,22.6
0.89,2.02,-6.1,12.2,509.0,22.6
0.9,2.28,-6.3,11.9,509.0,22.6
0.9,1.75,-6.8,12.1,509.0,22.6
0.9,1.97,-6.1,12.1,508.0,22.6
0.9,1.98,-5.9,12.0,509.0,22.6
0.91,2.13,-5.9,12.0,509.0,22.6
0.9,1.86,-6.5,12.3,509.0,22.6
0.9,1.85,-6.5,11.9,509.0,22.6
0.9,1.87,-6.4,12.0,509.0,22.6
0.9,1.82,-6.3,12.0,509.0,22.6
0.9,2.28,-6.8,12.2,509.0,22.6
0.9,1.98,-6.1,12.0,509.0,22.6
0.9,1.96,-6.9,12.1,509.0,22.6
0.91,2.09,-6.6,11.9,509.0,22.6
0.9,1.8,-6.3,11.8,509.0,22.6
0.9,1.8,-6.8,12.3,509.0,22.6
0.9,1.67,-6.8,12.3,509.0,22.6
0.89,1.67,-6.7,11.7,509.0,22.6
0.9,1.87,-6.4,12.5,509.0,22.6
0.9,1.91,-6.2,11.9,509.0,22.6
0.9,2.08,-6.2,12.3,509.0,22.6
0.9,1.98,-6.2,11.8,509.0,22.6
0.9,1.92,-6.5,11.6,509.0,22.6
0.9,1.96,-6.3,11.9,509.0,22.6
0.9,1.86,-6.4,11.7,509.0,22.6
0.9,1.99,-6.0,11.8,509.0,22.6
0.9,2.03,-6.1,11.9,509.0,22.6
0.9,1.8,-5.8,11.9,509.0,22.6
0.81,1.92,-6.3,12.0,509.0,22.6
0.9,2.11,-6.0,12.2,509.0,22.6
0.89,1.98,-6.6,11.9,509.0,22.6
0.9,1.98,-6.6,11.9,509.0,22.6
0.91,1.98,-6.2,12.0,509.0,32.6
0.89,1.6,-6.8,11.7,509.0,22.6
0.9,1.73,-5.8,12.0,509.0,22.6
0.9,1.59,-6.7,11.8,509.0,22.6
0.9,1.88,-6.7,11.9,509.0,22.6
0.9,1.97,-6.5,11.6,509.0,22.6
0.9,2.26,-6.7,12.0,509.0,22.6
0.9,1.7,-5.5,11.9,509.0,22.6
0.9,1.57,-6.1,11.5,509.0,22.6
0.9,1.2,-7.0,12.1,509.0,22.6
0.89,2.04,-5.9,12.3,509.0,22.6
0.9,1.94,-5.9,12.3,509.0,22.6
0.9,2.13,-6.2,11.6,509.0,22.6
0.9,2.06,-6.4,12.2,509.0,22.6
0.9,1.94,-6.2,12.1,509.0,22.6
0.9,2.52,-5.8,12.6,509.0,22.6
0.9,1.55,-5.8,12.1,509.0,22.6
0.9,2.06,-6.1,12.3,509.0,22.6
0.91,1.76,-6.1,12.3,509.0,22.6
0.9,1.62,-6.2,12.0,509.0,22.6
0.9,1.82,-6.2,12.0,508.0,22.6
0.91,2.3,-6.2,12.4,509.0,22.6
0.91,1.82,-5.7,12.5,509.0,22.6
0.9,2.11,-5.7,12.3,509.0,22.6
0.9,1.92,-6.5,11.6,510.0,22.6
0.9,1.75,-6.3,12.4,509.0,21.6
0.9,1.54,-6.0,12.2,509.0,22.6
0.91,1.76,-6.2,11.9,509.0,22.6
0.9,1.82,-6.0,12.3,509.0,22.6
0.9,1.88,-6.0,12.4,509.0,22.6
0.9,1.88,-6.1,12.1,509.0,22.6
0.9,2.06,-5.8,12.0,509.0,22.6
0.9,2.45,-6.0,12.1,509.0,22.6
0.9,2.0,-6.0,12.1,509.0,22.6
0.91,1.82,-6.5,11.8,509.0,22.6
0.9,1.88,-6.2,12.1,509.0,22.6
0.9,1.59,-6.0,11.8,509.0,22.6
0.9,1.99,-6.0,12.3,509.0,22.6
0.9,1.75,-6.0,12.0,508.0,22.6
0.9,1.94,-6.1,11.7,509.0,22.6
0.92,2.25,-6.6,13.5,509.0,22.6
0.9,2.0,-6.1,11.8,509.0,22.6
0.92,2.0,-6.4,11.7,509.0,22.6
0.92,1.87,-5.9,11.9,509.0,22.6
0.9,2.23,-6.0,11.9,509.0,22.6
0.91,2.11,-5.7,12.7,509.0,22.6
0.89,2.25,-6.0,11.4,509.0,22.6
0.9,2.19,-6.1,12.8,509.0,22.6
0.9,1.44,-6.4,11.7,509.0,22.6
0.9,1.76,-6.1,11.7,509.0,22.6
0.91,2.33,-6.1,11.7,509.0,22.6
0.89,2.03,-6.4,12.1,509.0,22.6
0.89,1.56,-5.9,11.2,509.0,22.6
0.9,1.81,-6.1,12.3,509.0,22.6
0.9,1.81,-6.2,12.2,509.0,22.6
0.9,2.03,-6.1,11.9,509.0,22.6
0.9,1.89,-6.1,12.0,509.0,22.6
0.9,1.98,-6.3,12.0,509.0,22.6
0.9,1.94,-5.8,12.1,509.0,22.6
0.9,1.91,-6.5,12.3,509.0,22.6
0.9,2.06,-5.9,12.3,509.0,22.6
0.9,1.93,-6.3,11.9,509.0,22.6
0.91,1.77,-5.8,10.9,509.0,22.6
0.91,2.95,-5.8,10.9,509.0,22.6
0.91,1.95,-5.6,12.1,509.0,22.6
0.81,1.91,-5.8,12.5,509.0,22.6
0.9,2.3,-5.8,12.0,508.0,22.6
0.89,1.83,-6.1,12.0,509.0,22.6
0.9,2.37,-5.8,12.2,508.0,22.6
0.9,2.07,-6.0,12.0,509.0,22.6
0.89,2.66,-6.3,12.1,509.0,22.6
0.9,2.66,-6.2,12.0,509.0,22.6
0.9,1.99,-6.1,12.0,509.0,22.6
0.89,2.0,-5.8,11.9,509.0,22.6
0.9,2.01,-5.8,11.9,509.0,22.6
0.9,2.1,-6.5,12.4,509.0,22.6
0.9,1.83,-5.9,13.0,509.0,22.6
0.9,1.63,-6.2,12.3,509.0,22.6
0.9,1.69,-6.3,11.9,509.0,32.6
0.89,1.45,-6.4,12.1,509.0,22.6
0.9,2.07,-6.2,11.8,509.0,22.6
0.91,1.98,-5.8,12.1,509.0,22.6
0.91,1.67,-6.0,12.2,509.0,22.6
0.9,2.22,-6.7,11.6,509.0,22.6
0.91,2.16,-6.4,11.8,509.0,22.6
0.9,1.87,-5.5,12.5,509.0,22.6
0.9,2.36,-5.8,12.5,509.0,22.6
0.9,1.88,-6.2,12.0,508.0,22.6
0.9,1.86,-6.5,12.1,509.0,22.6
0.89,1.62,-5.8,12.2,508.0,22.6
0.9,1.84,-6.1,12.1,509.0,22.6
0.91,1.75,-5.0,12.7,509.0,22.6
0.9,2.37,-6.2,11.9,509.0,22.6
0.9,1.66,-5.8,11.1,509.0,22.6
0.91,1.75,-5.8,11.1,509.0,22.6
0.89,1.83,-5.9,12.3,509.0,22.6
0.9,2.16,-6.1,11.7,509.0,22.6
0.9,1.89,-6.5,11.8,509.0,22.6
0.89,1.63,-6.3,11.6,509.0,22.6
0.9,2.07,-6.1,12.3,509.0,22.7
0.89,2.07,-6.1,12.3,509.0,22.6
0.89,1.96,-6.6,12.0,509.0,22.6
0.91,2.27,-6.6,11.6,509.0,22.6
0.9,1.71,-6.4,12.0,508.0,22.6
0.91,1.71,-5.8,11.8,509.0,22.6
0.9,1.81,-6.3,11.7,508.0,22.6
0.9,1.84,-6.2,12.3,509.0,22.6
0.9,2.12,-6.1,12.1,509.0,22.6
0.9,2.11,-5.8,12.5,509.0,22.6
0.9,2.11,-5.8,12.5,508.0,22.6
0.9,2.3,-6.4,12.4,508.0,22.6
0.89,2.14,-5.9,12.4,508.0,22.6
0.9,2.02,-6.5,2.1,509.0,22.6
0.91,2.03,-6.2,12.1,509.0,22.6
0.89,1.87,-6.6,12.2,509.0,22.6
0.9,1.71,-6.2,11.7,509.0,22.6
0.9,1.77,-6.1,12.1,509.0,22.6
0.9,2.04,-6.2,12.2,509.0,22.6
0.89,2.04,-6.3,12.3,508.0,22.6
0.9,1.45,-6.3,12.3,508.0,22.6
0.89,2.15,-6.6,12.5,509.0,22.6
0.91,1.97,-6.6,12.5,509.0,22.6
0.9,3.07,-6.0,12.3,509.0,22.6
0.89,3.06,-6.4,12.4,508.0,22.6
0.89,1.63,-6.4,12.4,509.0,22.6
0.91,1.66,-6.0,12.6,509.0,22.6
0.9,1.33,-5.9,12.3,509.0,22.6
0.9,2.83,-6.3,12.2,508.0,22.6
0.91,1.97,-6.3,12.2,508.0,22.6
0.91,1.97,-6.4,11.9,509.0,22.6
0.9,2.3,-6.1,12.2,508.0,22.6
0.91,1.77,-6.1,12.2,509.0,22.6
0.9,1.54,-6.3,12.0,508.0,22.6
0.9,2.2,-6.1,12.0,508.0,22.6
0.9,1.92,-6.1,11.8,508.0,22.6
0.91,3.28,-6.7,11.9,508.0,22.6
0.91,1.45,-6.6,11.8,508.0,22.6
0.89,1.77,-6.2,12.1,508.0,22.6
0.9,2.03,-6.0,12.0,508.0,22.6
0.89,1.89,-6.2,13.3,508.0,22.6
0.89,1.86,-6.2,12.0,509.0,22.6
0.9,1.64,-6.3,11.8,508.0,22.6
0.9,2.03,-6.0,12.2,508.0,22.6
0.9,1.97,-6.6,12.0,508.0,22.6
0.9,1.89,-6.0,12.2,508.0,22.6
0.9,1.88,-6.1,11.7,508.0,22.6
0.9,1.86,-6.0,12.2,509.0,22.6
0.9,1.89,-6.0,12.0,508.0,22.6
0.9,2.05,-6.4,12.1,509.0,22.6
0.9,2.05,-6.0,12.1,509.0,22.6
0.9,1.87,-6.2,12.2,509.0,22.6
0.9,1.87,-6.2,12.2,509.0,22.6
0.9,1.88,-6.2,12.1,509.0,23.6
0.9,2.16,-6.6,11.5,508.0,22.6
0.9,2.19,-6.2,11.7,509.0,22.6
0.9,2.11,-6.2,11.9,509.0,22.6
0.89,1.93,-6.3,12.2,509.0,22.6
0.9,2.06,-6.0,12.0,508.0,22.6
0.9,1.96,-6.4,12.0,509.0,22.6
0.91,1.83,-5.9,12.0,509.0,22.6
0.9,2.0,-4.9,12.3,509.0,22.6
0.91,1.98,-6.2,11.8,509.0,22.6
0.9,1.74,-6.2,11.9,508.0,22.6
0.9,2.13,-5.8,12.2,509.0,22.6
0.89,2.01,-6.0,11.8,509.0,22.6
0.9,1.73,-6.0,11.8,509.0,22.6
0.9,1.96,-6.1,12.3,509.0,22.6
0.9,2.09,-6.0,12.0,509.0,22.6
0.9,2.09,-6.5,12.1,509.0,22.6
0.9,2.0,-6.1,12.2,509.0,22.6
0.9,1.77,-6.3,12.1,509.0,22.6
0.89,1.96,-6.4,12.0,509.0,22.6
0.9,2.16,-6.5,12.1,509.0,22.6
0.91,2.13,-5.9,12.4,508.0,22.6
0.91,1.42,-5.9,11.6,509.0,22.6
0.89,2.16,-6.2,11.8,509.0,22.6
0.9,1.84,-5.8,12.6,509.0,22.6
0.9,2.54,-6.3,12.3,509.0,22.6
0.9,2.78,-5.7,12.4,509.0,22.6
0.9,2.05,-5.2,12.8,509.0,22.6
0.89,2.44,-5.2,12.8,509.0,22.6
0.9,2.44,-5.7,12.6,509.0,22.6
0.9,2.28,-5.9,12.1,509.0,22.6
0.89,2.31,-6.1,12.0,509.0,22.6
0.9,1.91,-6.6,11.3,509.0,22.6
0.9,2.23,-6.7,11.6,509.0,22.6
0.9,2.23,-6.5,11.8,509.0,22.6
0.9,1.95,-6.1,11.9,509.0,22.6
0.91,2.27,-6.0,11.8,509.0,22.6
0.91,1.55,-6.1,11.4,509.0,22.6
0.89,2.06,-6.1,12.3,509.0,22.6
0.91,2.25,-6.1,12.3,509.0,22.6
0.91,1.83,-5.9,12.0,509.0,22.6
0.89,2.44,-6.2,12.2,509.0,22.6
0.89,1.94,-6.5,11.9,508.0,22.6
0.9,2.16,-6.0,11.8,509.0,22.6
0.91,1.67,-6.5,11.4,509.0,22.6
0.9,1.9,-6.1,12.0,509.0,22.6
0.91,1.85,-6.4,11.9,509.0,22.6
0.9,1.64,-6.0,12.1,509.0,22.6
0.91,2.06,-6.2,12.2,509.0,22.6
0.89,1.98,-6.4,12.0,509.0,22.6
0.9,1.88,-6.2,11.8,509.0,22.6
0.9,1.85,-6.5,12.2,508.0,22.6
0.9,2.11,-6.2,11.9,509.0,22.6
0.9,2.09,-6.2,11.9,509.0,22.6
0.9,1.52,-6.5,11.7,509.0,22.6
0.9,2.06,-4.8,12.4,509.0,22.6
0.9,1.89,-6.1,12.1,508.0,22.6
0.9,1.82,-6.4,12.1,509.0,22.6
0.9,1.85,-6.4,12.1,509.0,22.6
0.9,1.86,-5.7,12.1,509.0,92.6
0.89,1.86,-6.1,11.8,509.0,22.6
0.91,2.04,-6.0,12.0,509.0,22.6
0.9,1.92,-6.2,12.1,508.0,22.6
0.9,2.18,-6.2,12.0,508.0,22.6
0.9,1.91,-5.6,12.1,508.0,22.6
0.9,1.97,-6.2,12.0,508.0,22.6
0.91,1.98,-6.1,12.2,508.0,22.6
0.91,1.81,-6.3,11.6,509.0,22.6
0.9,1.81,-6.0,11.7,509.0,22.6
0.9,1.96,-6.3,12.1,509.0,22.6
0.91,2.09,-5.5,12.1,509.0,22.6
0.89,1.86,-6.4,12.1,509.0,22.6
